,ASSESSED_LAND_VALUE,ASSESSED_TOTAL_VALUE,ASSESSED_IMP_VALUE,ZIP,BATH,BED,AGE,STORIES,GARAGE_TYPE,PARKING,TOTAL_UNITS,LAND_USE,POOL,FIREPLACE,PROPERTY_TYPE,BUILDING_AREA,LOT_SIZE,FIDELITY_LATITUDE,FIDELITY_LONGITUDE
0,56286.0,0.0,56286.0,95407,0.0,0,,,,0,0,8001,,,,0,5824.0,38.429562,-122.725832
1,97278.0,166722.0,264000.0,94561,3.0,4,4.0,,Y,2,0,1001,,,,2491,5093.0,37.998278,-121.734335
2,86402.0,217866.0,304268.0,95401,3.0,3,20.0,2,G,3,1,1008,,1,,2170,1.53,38.43785,-122.789562
3,99362.0,102521.0,201883.0,94112,2.0,0,83.0,1,,0,0,1001,,,,1600,2500.0,37.720107,-122.429863
4,51000.0,138000.0,189000.0,94533,3.0,4,23.0,2,G,2,0,1001,,Y,,1617,3920.0,38.261823,-122.018302
5,116098.0,188983.0,305081.0,94558,3.0,3,13.0,,Y,2,0,1001,,Y,,1819,4356.0,38.335094999999995,-122.31222
6,61500.0,143500.0,205000.0,94541,2.0,2,18.0,2,G,0,0,1004,,,,1010,1.11,37.670451,-122.108117
7,182607.0,135648.0,318255.0,94583,2.5,4,30.0,,Y,2,0,1009,,,,1704,4590.0,37.763962,-121.971789
8,92000.0,230750.0,322750.0,95401,2.0,3,85.0,1,,0,1,1001,,1,,1380,4250.0,38.448009,-122.718709
9,1577940.0,676260.0,2254200.0,94121,1.0,0,90.0,2,,0,0,1001,,,,2310,2996.0,37.784335,-122.48808
10,58036.0,68306.0,126342.0,94085,1.0,3,56.0,1,,0,0,1001,,,,1315,9583.0,37.396799,-122.024144
11,22660.0,83840.0,106500.0,94509,1.0,3,60.0,,Y,1,0,1001,,,MFD,1146,5000.0,38.001366999999995,-121.816605
12,116717.0,146928.0,263645.0,94954,2.0,2,22.0,2,,0,1,1009,,1,,1368,5227.0,38.261548,-122.642657
13,76417.0,120909.0,197326.0,94024,2.0,2,36.0,1,G,2,0,1004,,,,1264,1307.0,37.340345,-122.073191
14,412812.0,269616.0,682428.0,94118,3.0,0,69.0,1,,0,0,1001,,,,2594,2456.0,37.780364999999996,-122.447675
15,14323.0,57887.0,72210.0,94591,1.0,1,21.0,1,,0,0,1004,,Y,,307400,871.0,38.125144,-122.219293
16,77736.0,220078.0,297814.0,94601,3.0,5,91.0,2,G,2,2,1101,,,,2884,7000.0,37.777967,-122.209879
17,115000.0,115000.0,230000.0,95035,1.0,2,2.0,1,,0,0,1004,B,,,842,436.0,37.428833,-121.883519
18,198000.0,462000.0,660000.0,94566,2.0,4,38.0,1,G,0,0,1001,,,,1549,9944.0,37.655712,-121.852622
19,92149.0,78410.0,170559.0,95688,2.0,3,30.0,1,,0,0,1001,,Y,,1812,54.779999,38.43548,-121.976703
20,505700.0,272400.0,778100.0,95120,2.5,4,33.0,2,G,2,0,1001,,,,2176,7841.0,37.220608999999996,-121.864093
21,107736.0,265207.0,372943.0,95476,3.0,3,30.0,2,,0,1,1001,,3,,2920,1.95,38.300633,-122.537927
22,113824.0,189709.0,303533.0,94124,3.0,4,13.0,2,,0,0,1001,,,,1626,1500.0,37.729136,-122.39643699999999
23,108488.0,111012.0,219500.0,94565,2.5,3,2.0,,Y,2,0,1009,,,,1959,2519.0,38.032478999999995,-121.88983
24,80440.0,187693.0,268133.0,94587,2.0,3,35.0,1,G,0,0,1001,P,,,1340,7888.0,37.576685,-122.07558399999999
25,4539.0,36179.0,40718.0,95403,1.0,3,56.0,1,,0,1,1001,,1,,1332,12735.0,38.473788,-122.746101
26,81300.0,189700.0,271000.0,95403,2.0,3,29.0,1,,0,1,1001,,1,,1108,6534.0,38.481427,-122.744276
27,104700.0,244300.0,349000.0,94545,2.0,3,55.0,1,G,0,0,1001,,,,1550,5096.0,37.646616,-122.107324
28,52168.0,104344.0,156512.0,94040,1.0,2,45.0,1,G,2,0,1004,,,,1056,871.0,37.395748,-122.09413
29,156588.0,365373.0,521961.0,94536,2.0,3,24.0,1,G,0,0,1001,,,SFR,1487,6950.0,37.564043,-121.982246
30,192244.0,273265.0,465509.0,95120,2.5,5,41.0,2,G,2,0,1001,,,,2314,8712.0,37.226200999999996,-121.86949899999999
31,20000.0,67000.0,87000.0,94591,1.0,2,67.0,1,G,1,0,1001,,,,930,6970.0,38.085813,-122.229453
32,32557.0,39983.0,72540.0,94546,3.0,5,57.0,1,G,0,0,1001,,,,1612,5040.0,37.695206,-122.062812
33,120699.0,255210.0,375909.0,95126,0.0,0,46.0,2,V,4,4,1110,,,,3544,6970.0,37.302780999999996,-121.921897
34,82043.0,114512.0,196555.0,94553,2.5,2,27.0,,Y,2,0,1001,,,,1309,3750.0,37.977377,-122.08097599999999
35,86969.0,168031.0,255000.0,94806,2.5,4,18.0,,Y,2,0,1001,,,,1873,5150.0,37.964774,-122.348528
36,413576.0,381424.0,795000.0,94582,3.0,4,3.0,,Y,3,0,1001,,,,3047,9706.0,37.750871,-121.901231
37,420227.0,546298.0,966525.0,94506,3.0,4,21.0,,Y,3,0,1009,P,,,4084,7920.0,37.81849,-121.88846699999999
38,206490.0,309738.0,516228.0,95132,2.0,4,36.0,1,G,2,0,1001,,,,1480,6098.0,37.398799,-121.861663
39,40141.0,134426.0,174567.0,95136,2.0,4,36.0,1,G,2,0,1001,,,,1490,8276.0,37.259305999999995,-121.85996399999999
40,34787.0,45909.0,80696.0,95046,1.0,2,99.0,1,G,2,0,1001,,,,944,12632.0,37.083292,-121.607308
41,229562.0,126516.0,356078.0,94549,3.0,3,61.0,,Y,1,0,1001,,,,1953,4600.0,37.890530999999996,-122.113993
42,50006.0,160123.0,210129.0,95687,3.0,4,20.0,2,G,2,0,1001,,Y,,1951,8276.0,38.318839,-121.963892
43,272782.0,644758.0,917540.0,94901,2.5,4,12.0,,Y,2,1,1001,,,,2655,7750.0,37.977554999999995,-122.536685
44,124650.0,290850.0,415500.0,95403,0.0,0,,,,0,1,1001,,,,0,3920.0,38.464887999999995,-122.7671
45,337500.0,275625.0,613125.0,94945,2.0,3,41.0,,Y,2,1,1001,,,,1916,7500.0,38.117905,-122.601939
46,193272.0,64145.0,257417.0,94704,0.0,0,,,,0,4,1103,,,,0,5285.0,37.865345,-122.250945
47,170700.0,398300.0,569000.0,94602,2.0,3,60.0,1.5,G,0,0,1001,,,,1142,5250.0,37.80486,-122.209283
48,161124.0,139937.0,301061.0,95127,1.0,3,56.0,1,G,2,0,1001,,,,1104,6534.0,37.360166,-121.827184
49,27970.0,97401.0,125371.0,95136,2.0,4,39.0,1,G,1,0,1001,,,,1572,5663.0,37.266844999999996,-121.872799
50,503713.0,376287.0,880000.0,94582,2.5,3,26.0,,Y,2,0,1009,P,,,2879,15660.0,37.753366,-121.932205
51,166952.0,56079.0,223031.0,95128,1.0,2,68.0,1,G,1,0,1001,,,,940,7841.0,37.31046,-121.932429
52,103875.0,242375.0,346250.0,94954,3.0,3,14.0,2,,0,1,1009,,1,,1301,1580.0,38.267496,-122.641929
53,259600.0,139800.0,399400.0,95131,2.0,3,35.0,1,G,2,0,1001,,,,1041,5663.0,37.388113,-121.877072
54,132000.0,308000.0,440000.0,94568,2.0,3,49.0,1,G,0,0,1001,,,,1116,6600.0,37.718595,-121.938783
55,116394.0,271587.0,387981.0,94550,2.0,4,20.0,1.5,G,0,0,1001,,,,1704,7590.0,37.684436,-121.73540299999999
56,123770.0,185661.0,309431.0,94928,2.0,4,33.0,1,,0,1,1001,,1,,1921,9800.0,38.359162,-122.700673
57,19039.0,43600.0,62639.0,94588,2.0,4,41.0,1,G,0,0,1001,,,,1489,6200.0,37.688745,-121.907112
58,96154.0,278846.0,375000.0,94513,3.0,5,5.0,,Y,2,0,1001,,,,2962,6000.0,37.922176,-121.747435
59,243000.0,567000.0,810000.0,94560,3.0,4,16.0,2,G,3,0,1001,,,,2669,8080.0,37.551556999999995,-122.026735
60,91162.0,116021.0,207183.0,94952,2.0,4,34.0,1,,0,1,1001,,1,,1960,6098.0,38.214234999999995,-122.630377
61,148500.0,346500.0,495000.0,94538,2.0,3,45.0,1,G,0,0,1001,,,,1455,6204.0,37.516767,-121.964933
62,429667.0,286444.0,716111.0,94087,1.5,3,55.0,1,G,2,0,1001,,,,1499,5663.0,37.361244,-122.057569
63,106500.0,248500.0,355000.0,94555,2.0,2,20.0,3,G,0,0,1004,P,,,1250,3.73,37.561287,-122.049308
64,127827.0,192961.0,320788.0,94928,2.0,3,33.0,1,,0,1,1001,,1,SFR,1871,11326.0,38.35885,-122.695782
65,131500.0,430500.0,562000.0,95050,1.0,3,56.0,1,G,2,0,1001,,,,1035,5663.0,37.332730999999995,-121.954894
66,17326.0,44743.0,62069.0,94538,2.0,4,47.0,1,G,0,0,1001,,,,1558,5700.0,37.518656,-121.969354
67,1435278.0,783882.0,2219160.0,94904,0.0,0,,,,0,0,1001,,,,0,16400.0,37.953713,-122.560645
68,689780.0,366114.0,1055894.0,94586,2.0,2,81.0,2,C,2,0,1008,,,,2016,11550.0,37.627506,-121.912653
69,300000.0,535000.0,835000.0,95037,0.0,0,46.0,2,V,4,4,1110,,,,2764,6970.0,37.128336999999995,-121.66011499999999
70,100000.0,78000.0,178000.0,94558,2.5,2,18.0,,Y,1,0,1004,P,1,,1030,436.0,38.278481,-122.303485
71,77913.0,181817.0,259730.0,95123,2.5,4,39.0,2,G,2,0,1001,,,,2124,6098.0,37.238358,-121.852753
72,143300.0,266300.0,409600.0,95020,2.5,3,11.0,2,G,2,0,1001,,,SFR,1908,6098.0,37.026581,-121.584338
73,119400.0,278600.0,398000.0,94538,2.0,3,49.0,1,G,0,0,1001,,,,1314,6400.0,37.514697,-121.948713
74,223009.0,520241.0,743250.0,94550,3.0,4,9.0,1.5,G,3,0,1001,,,,2890,10850.0,37.652167999999996,-121.784335
75,46327.0,108096.0,154423.0,94609,2.5,3,89.0,2,,0,2,1101,,,,2017,3850.0,37.841389,-122.263725
