,0,1,2,3,4
ASSESSED_LAND_VALUE,15464.0,90000.0,17487.0,27290.0,18193.0
ASSESSED_TOTAL_VALUE,46393.0,210000.0,125805.0,56096.0,37903.0
ASSESSED_IMP_VALUE,61857.0,300000.0,143292.0,83386.0,56096.0
ZIP,94607,94607,94607,94607,94607
BATH,1.0,0.5,2.0,1.5,2.0
BED,2,2,4,4,4
AGE,119.0,119.0,119.0,119.0,129.0
STORIES,2.0,2.0,2.0,2.0,2.0
GARAGE_TYPE,G,G,,,G
PARKING,0,0,0,0,0
TOTAL_UNITS,0,0,0,0,1
POOL,,,,,
FIREPLACE,,,,,
PROPERTY_TYPE,,,,,
BUILDING_AREA,572,572,1672,1144,1594
LOT_SIZE,2500.0,2500.0,2500.0,2500.0,2500.0
FIDELITY_LATITUDE,37.803152000000004,37.803141,37.803136,37.803125,37.803093
FIDELITY_LONGITUDE,-122.296821,-122.29676699999999,-122.29673999999999,-122.29668500000001,-122.296523
